country,iso3,qualifying_program_found,program_name,program_type,program_url,legal_or_official_basis,announcement_date,launch_or_effective_date,status_during_observation_period,discovery_evidence_span,discovery_source_title,discovery_source_institution,discovery_source_url,source_publication_date,source_access_date,primary_or_secondary_source,Unnamed: 17,qualifying,announcement_precision,effective_precision,announcement_date_parsed,effective_date,adoption_year,adoption_month,first_full_exposure_year,calendar_year_exposure
Malawi,MWI,no,,,,,,,,,Visa – Department of Immigration. Republic of Malawi,"Department of Immigration and Citizenship Services, Malawi",https://www.immigration.gov.mw/visa,,8/11/26,primary,,False,missing,missing,,,,,,
Malaysia,MYS,yes,DE Rantau Nomad Pass,Digital Nomad Visa / Residence Permit,,,2022-10,2022-10,active,2022-2026,Who Can Apply for the Malaysia Digital Nomad Visa? (29+ Remote Positions),Nomad Embassy,https://nomadsembassy.com/who-can-apply-for-the-malaysia-digital-nomad-visa,,8/11/26,primary,,True,month,month,2022-10-01,2022-10-01,2022,10,2023,2022
Maldives,MDV,no,,,,,,,,,Work Visa Service | Maldives Immigration,Maldives Immigration,https://immigration.gov.mv/visa/work-visa,,8/11/26,primary,,False,missing,missing,,,,,,
Mali,MLI,no,,,,,,,,,Visas - U.S. Embassy in Mali,U.S. Embassy in Mali,https://ml.usembassy.gov/visas,,8/11/26,secondary,,False,missing,missing,,,,,,
Malta,MLT,no,,,,,,,,,C ONTENTS MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025,8/11/26,secondary,,False,missing,missing,,,,,,
Marshall Islands,MHL,no,,,,,,,,,"Marshall Islands Work Permit / Work Visa (Work): Requirements, Fees, Processing Time & How to Apply – DesiNRI Visa Portal",DesiNRI Visa Portal (Secondary Source),https://desinri.com/visa/marshall-islands-work-permit-work-visa-work-requirements-fees-processing-time-how-to-apply,,8/11/26,secondary,,False,missing,missing,,,,,,
Mauritius,MUS,yes,Premium Visa,Digital Nomad Visa / Residence Permit,https://www.edbmauritius.org,Government of Mauritius Premium Travel Visa initiative,2020-10,2020-10,active,2020-2026,Mauritius Digital Nomad Visa: Remote Work in Paradise in 2026,Nomadic Expert,https://www.nomadicexpert.com/visa-guides/digital-nomad-visa-mauritius,2026,8/11/26,primary,,True,month,month,2020-10-01,2020-10-01,2020,10,2021,2020
Mexico,MEX,no,,,,,,,,2025-2026,Remote Work Visa Regulations in Mexico,Payroll Mexico (Secondary Source),https://www.payrollmexico.com/insights/remote-work-visa-regulations-mexico,,8/11/26,secondary,,False,missing,missing,,,,,,
"Micronesia, Fed. Sts.",FSM,no,,,,,,,,,Digital Nomad Visa Indonesia – Remote Work Legally,PNB Immigration Law Firm,https://www.pnbimmigrationlawfirm.com/services/work-permit-and-stay-permit/digital-nomad-visa-indonesia,,8/11/26,secondary,,False,missing,missing,,,,,,
Moldova,MDA,yes,Moldova Digital Nomad Visa,Digital Nomad Visa / Residence Permit,,Amendments to regulations governing online commerce and the remote work market proposed by the Ministry of Economic Development and Digitalization,9/20/25,9/20/25,active,2024-2026,Moldova Launches Digital Nomad Visa to Attract Global Talent,Erickson Immigration Group,https://eiglaw.com/moldova-launches-digital-nomad-visa-to-attract-global-talent,,8/11/26,primary,,True,day,day,2025-09-20,2025-09-20,2025,9,2026,2025
Monaco,MCO,no,,,,,,,,,Digital nomad visa: the complete guide - France Immigration,France Immigration (Secondary),https://www.france-immigration.com/en/expert-articles/digital-nomad-visas-the-complete-guide,,8/11/26,secondary,,False,missing,missing,,,,,,
Mongolia,MNG,no,,,,,,,,,Driving the Future!,WIPO / Gerege Systems LLC,https://www.wipo.int/edocs/mdocs/mdocs/en/wipo_ip_conv_ge_2_23/wipo_ip_conv_ge_2_23_p2_5.pdf,,8/11/26,secondary,,False,missing,missing,,,,,,
Montenegro,MNE,yes,Programme for Attracting Digital Nomads in Montenegro,Digital Nomad Visa / Residence Permit,,Law on Foreigners,2021,2021,,2021-2025,MIGRATION GOVERNANCE INDICATORS,International Organization for Migration (IOM),https://www.iom.int/sites/g/files/tmzbdl486/files/documents/2023-09/pub2023-048-el-mgi-montenegro.pdf,2023-09,8/11/26,primary,,True,year,year,2021-01-01,2021-01-01,2021,1,,2021
Morocco,MAR,no,,,,,,,,,MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025-09,8/11/26,secondary,,False,missing,missing,,,,,,
Mozambique,MOZ,no,,,,,,,,,C ONTENTS MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025,8/11/26,secondary,,False,missing,missing,,,,,,
Myanmar,MMR,no,,,,,,,,,E-Visa,"Consulate-General of the Republic of the Union of Myanmar, Los Angeles",https://myanmarcgla.org/index.php/visa/e-visa,,8/11/26,primary,,False,missing,missing,,,,,,
Namibia,NAM,yes,Namibia Digital Nomad Visa,Digital Nomad Visa,,,2022-10,2022-10,active,2022-2026,Namibia: Remote Work Visa Introduced,"Fragomen, Del Rey, Bernsen & Loewy LLP",https://www.fragomen.com/insights/namibia-remote-work-visa-introduced.html,10/14/22,8/11/26,primary,,True,month,month,2022-10-01,2022-10-01,2022,10,2023,2022
Nauru,NRU,no,,,,,,,,,Moral injury related to immigration detention on Nauru: a qualitative study,National Center for Biotechnology Information,https://pmc.ncbi.nlm.nih.gov/articles/PMC8881073,,8/11/26,secondary,,False,missing,missing,,,,,,
Nepal,NPL,yes,Nepal Digital Nomad Visa,Digital Nomad Visa,https://www.attorneynepal.com/blog/nepal-digital-nomad-visa,Economic Reform Implementing Work Plan 2025,2025-05,2026,announced_but_inactive,2025-2026,Nepal Digital Nomad Visa,Attorney Nepal,https://www.attorneynepal.com/blog/nepal-digital-nomad-visa,,8/11/26,primary,,True,month,year,2025-05-01,2026-01-01,2026,1,,2026
New Caledonia,NCL,no,,,,,,,,,Travel Advisories - State Department,United States Department of State,https://travel.state.gov/en/international-travel/travel-advisories.html,5/21/26,8/11/26,secondary,,False,missing,missing,,,,,,
New Zealand,NZL,no,,,,,,,,,ilab's sweat & toil and - comply chain apps today!,Bureau of International Labor Affairs / Department of Labor,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,,8/11/26,secondary,,False,missing,missing,,,,,,
Nicaragua,NIC,no,,,,,,,,,Evidence of the digital nomad phenomenon - PMC - NIH,National Institutes of Health (PMC),https://pmc.ncbi.nlm.nih.gov/articles/PMC11387329,,8/11/26,secondary,,False,missing,missing,,,,,,
Niger,NER,no,,,,,,,,2026,Niger Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/niger,,8/11/26,secondary,,False,missing,missing,,,,,,
Nigeria,NGA,no,,,,,,,,,Nigeria Visa Classes,Nigeria Immigration Service,https://immigration.gov.ng/nigerian-visa,,8/11/26,primary,,False,missing,missing,,,,,,
North Macedonia,MKD,no,,,,,,,,,MIGRATION GOVERNANCE INDICATORS,International Organization for Migration (IOM),https://www.iom.int/sites/g/files/tmzbdl486/files/documents/2023-09/pub2023-048-el-mgi-montenegro.pdf,2023,8/11/26,secondary,,False,missing,missing,,,,,,
Northern Mariana Islands,MNP,no,,,,,,,,,U.S. Immigration Law in the Commonwealth of the Northern Mariana Islands (CNMI) | USCIS,U.S. Citizenship and Immigration Services,https://www.uscis.gov/laws-and-policy/other-resources/us-immigration-law-in-the-commonwealth-of-the-northern-mariana-islands-cnmi,,8/11/26,primary,,False,missing,missing,,,,,,
Norway,NOR,no,,,,,,,,,Remote work in Norway - UDI,Norwegian Directorate of Immigration (UDI),https://www.udi.no/en/word-definitions/remote-work-in-norway,,8/11/26,secondary,,False,missing,missing,,,,,,
Oman,OMN,no,,,,,,,,,WORLD MIGRATION REPORT 2024,International Organization for Migration (IOM),https://mena.iom.int/sites/g/files/tmzbdl686/files/documents/2024-05/pub2023-047-l-world-migration-report-2024_1.pdf,2024,8/11/26,secondary,,False,missing,missing,,,,,,
Pakistan,PAK,no,,,,,,,,,Work Visa | Board Of Investment,"Board of Investment, Government of Pakistan",http://invest.gov.pk/work-visa,,8/11/26,primary,,False,missing,missing,,,,,,
Palau,PLW,no,,,,,,,,,"Citizens of the RMI, FSM and Palau are Eligible to Work in the United States | USCIS",U.S. Citizenship and Immigration Services,https://www.uscis.gov/i-9-central/completing-form-i-9/federated-states-of-micronesia-republic-of-the-marshall-islands-and-palau,,8/11/26,secondary,,False,missing,missing,,,,,,
Panama,PAN,no,,,,,,,,,Glossary on Migration,International Organization for Migration,https://publications.iom.int/system/files/pdf/iml_34_glossary.pdf,,8/11/26,secondary,,False,missing,missing,,,,,,
Papua New Guinea,PNG,no,,,,,,,,2025-2026,Special Exemption Visa - ICA,Papua New Guinea Immigration and Citizenship Authority,https://ica.gov.pg/visa/specialise/special-exemption-visa,,8/11/26,primary,,False,missing,missing,,,,,,
Paraguay,PRY,no,,,,,,,,,Digital Nomad Visa Paraguay 2026: No Visa Needed — Residency Is Better,ExpatSettle,https://expatsettle.com/digital-nomad-visa-paraguay,2026,8/11/26,secondary,,False,missing,missing,,,,,,
Peru,PER,no,Digital Nomad Visa,Digital Nomad Residence Permit,,Legislative Decree 1582,11/14/23,,Announced in legislation but inactive in practice (not added to TUPA procedures manual),2023-2026,"Peru: New Law Introduces Digital Nomad Visa, Shorter Validity of Local Identification Cards, Among Other Changes","Fragomen, Del Rey, Bernsen & Loewy LLP",https://www.fragomen.com/insights/peru-new-law-introduces-digital-nomad-visa-shorter-validity-of-local-identification-cards-among-other-changes.html,11/14/23,8/11/26,secondary,,False,day,missing,2023-11-14,,,,,
Philippines,PHL,yes,Digital Nomad Visa,Digital Nomad Visa,,Executive Order (EO) No. 86,2025,2025-06,announced_but_inactive,2025-2026,Philippines Announces Digital Nomad Visa - Erickson Immigration Group,Erickson Immigration Group,https://eiglaw.com/philippines-announces-digital-nomad-visa,,8/11/26,primary,,True,year,month,2025-01-01,2025-06-01,2025,6,2026,2025
Poland,POL,no,,,,,,,,2025-2026,Your Guide on Remote Work from Poland,Immigration Poland (Secondary Source),https://www.immigration-poland.com/poland-digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Portugal,PRT,yes,D8 Visa (Temporary Stay Visa or Residence Visa for Digital Nomads),Digital Nomad Visa / Residence Permit,,Law No. 23/2007 (Article 53 reference found in secondary source),2022-10,2022-10,active,2022-2026,Portugal Digital Nomad Visa (D8): A 2026 Updated Guide,Lexidy,https://www.lexidy.com/visas/d8-portugal-digital-nomad-visa,2026,8/11/26,primary,,True,month,month,2022-10-01,2022-10-01,2022,10,2023,2022
Qatar,QAT,no,,,,,,,,,Digital Nomad Visa Countries - Official Requirements | TripPlugin,TripPlugin,https://tripplugin.com/digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Romania,ROU,yes,Long-stay visa for the digital nomad,Digital Nomad Visa,,Law 22/2022 amending Government Emergency Ordinance 194/2002,2022-01,1/14/22,active,2022-2026,Romania Digital Nomad Visa 2025 | Live & Work Remotely in Romania | Citizen Remote,Citizen Remote,https://citizenremote.com/visas/romania,,8/11/26,primary,,True,month,day,2022-01-01,2022-01-14,2022,1,2022,2022
Russian Federation,RUS,no,,,,,,,,,Digital Nomad Visa in Russia - Legal Advice at Affordable Prices!,Lawyers Russia (Private Law Firm),https://lawyersrussia.com/digital-nomad-visa-for-russia,,8/11/26,secondary,,False,missing,missing,,,,,,
Rwanda,RWA,no,,,,,,,,,Visitors visa,Rwanda Directorate General of Immigration and Emigration,https://www.migration.gov.rw/visa/visitors-visa,,8/11/26,primary,,False,missing,missing,,,,,,
Samoa,WSM,no,,,,,,,,,Visas - Samoa Ministry of Foreign Affairs and Trade,Samoa Ministry of Foreign Affairs and Trade,https://www.mfat.gov.ws/visas,,8/11/26,primary,,False,missing,missing,,,,,,
San Marino,SMR,no,,,,,,,,,Digital Nomad / Remote Worker VISA – Consolato Generale d'Italia a New York,Consolato Generale d'Italia a New York,https://consnewyork.esteri.it/en/servizi-consulari-e-visti/servizi-per-il-cittadino-straniero/visti/visas-to-enter-italy/digital-nomad-remote-worker-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Sao Tome and Principe,STP,no,,,,,,,,,Sao Tome & Principe Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/sao-tome-principe,,8/11/26,secondary,,False,missing,missing,,,,,,
Saudi Arabia,SAU,no,,,,,,,,,Digital Nomad Visa in Saudi Arabia,LinkedIn Pulse / Secondary Blog,https://www.linkedin.com/pulse/digital-nomad-visa-saudi-arabia-amin-el-saghir-9toif,,8/11/26,secondary,,False,missing,missing,,,,,,
Senegal,SEN,no,,,,,,,,,Senegal Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/senegal,,8/11/26,secondary,,False,missing,missing,,,,,,
Serbia,SRB,no,,,,,,,,2024-2026,Serbia Digital Nomad Visa 2026 | Lawyer Serbia,Lawyer Serbia (Secondary Source),https://lawyerserbia.com/en/serbia-digital-nomad,2026,8/11/26,secondary,,False,missing,missing,,,,,,
Seychelles,SYC,no,Visitors Workcation Program,Digital Nomad Visa / Residence Permit,https://digitalnomads.world/visas/seychelles,,,,,2026,Seychelles Digital Nomad Visa,Digital Nomad World,https://digitalnomads.world/visas/seychelles,,8/11/26,primary,,False,missing,missing,,,,,,
Sierra Leone,SLE,no,,,,,,,,,Sierra Leone Work Permits & Visas: Types & How to Sponsor,Playroll (Secondary Source),https://www.playroll.com/work-permit-visas/sierra-leone,,8/11/26,secondary,,False,missing,missing,,,,,,
Singapore,SGP,no,,,,,,,,2025-2026,Does Singapore Offer a Digital Nomad Visa? · Moveandstay,Moveandstay Editorial,https://moveandstay.com/blog/does-singapore-offer-a-digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Slovak Republic,SVK,no,,,,,,,,2025-2026,Employed worker in Slovakia - Migration and Home Affairs,European Commission,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/employed-worker-slovakia_en,,8/11/26,secondary,,False,missing,missing,,,,,,
Slovenia,SVN,yes,Slovenia Digital Nomad Visa,Temporary Residence Permit,,"Aliens Act (ZTuj-2I), Article 51.a",2024-07,11/21/25,active_qualifying_policy,2024-2026,The Slovenia Digital Nomad Visa : A Comprehensive Guide for Remote Professionals,TiketVisa,https://tiketvisa.com/uz/the-slovenia-digital-nomad-visa-a-comprehensive-guide-for-remote-professionals,,8/11/26,primary,,True,month,day,2024-07-01,2025-11-21,2025,11,2026,2025
Solomon Islands,SLB,no,,,,,,,,,ilab's sweat & toil and - comply chain apps today!,U.S. Department of Labor / Government of Solomon Islands Immigration Act reference,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,,8/11/26,secondary,,False,missing,missing,,,,,,
South Africa,ZAF,yes,Remote Working Visa,Digital Nomad Visa / Remote Working Visa,https://www.fragomen.com/insights/south-africa-digital-nomad-visa-implemented-further-details-forthcoming.html,Immigration Regulations / Ministerial Gazette,3/28/24,5/20/24,active,2024-2026,South Africa – New Work Visa Reform,KPMG,https://kpmg.com/xx/en/our-insights/gms-flash-alert/flash-alert-2024-207.html,10/9/24,8/11/26,primary,,True,day,day,2024-03-28,2024-05-20,2024,5,2025,2024
Spain,ESP,yes,Telework (Digital nomad) Visa,Digital Nomad Visa / Residence Permit,https://www.exteriores.gob.es/Consulados/washington/en/ServiciosConsulares/Paginas/Consular/Telework-visa.aspx,Startup Act (Ley de Startups),2023,2023,active,2023-2026,Telework (Digital nomad) Visa - Consular Section,"Ministry of Foreign Affairs, European Union and Cooperation, Spain",https://www.exteriores.gob.es/Consulados/washington/en/ServiciosConsulares/Paginas/Consular/Telework-visa.aspx,,8/11/26,primary,,True,year,year,2023-01-01,2023-01-01,2023,1,,2023
Sri Lanka,LKA,no,,,,,,,,,Investment Climate Statements: Custom Report Excerpts,U.S. Department of State,https://www.state.gov/report/custom/7ec665f7e5,,8/11/26,secondary,,False,missing,missing,,,,,,
St. Kitts and Nevis,KNA,no,,,,,,,,,policy brief special edition on the covid-19 pandemic,United Nations Framework Convention on Climate Change (UNFCCC),https://unfccc.int/sites/default/files/resource/COVID-19_POLICY%20BRIEF%20July%202021_Part%20B_compressed.pdf,2021-07,8/11/26,secondary,,False,missing,missing,,,,,,
St. Lucia,LCA,no,,,,,,,,,policy brief special edition on the covid-19 pandemic,UNFCCC / Alliance of Small Island States,https://unfccc.int/sites/default/files/resource/COVID-19_POLICY%20BRIEF%20July%202021_Part%20B_compressed.pdf,2021-07,8/11/26,secondary,,False,missing,missing,,,,,,
St. Vincent and the Grenadines,VCT,no,,,,,,,,,policy brief special edition on the covid-19 pandemic,UNFCCC / AOSIS,https://unfccc.int/sites/default/files/resource/COVID-19_POLICY%20BRIEF%20July%202021_Part%20B_compressed.pdf,2021-07,8/11/26,secondary,,False,missing,missing,,,,,,
Sudan,SDN,no,,,,,,,,,OVERVIEW AND COMPILATION OF U.S. TRADE ...,U.S. Government Publishing Office,https://www.govinfo.gov/content/pkg/CPRT-111WPRT63131/pdf/CPRT-111WPRT63131.pdf,,8/11/26,secondary,,False,missing,missing,,,,,,
Suriname,SUR,no,,,,,,,,2025-2026,Guide for Immigrants,Government of Suriname,https://gov.sr/wp-content/uploads/2025/07/IOM_GuideForImmigrants_A4_48p_v3_2025_03_P-web2.pdf,2025,8/11/26,primary,,False,missing,missing,,,,,,
Sweden,SWE,no,,,,,,,,,Sweden – EU country | European Union,European Union,https://european-union.europa.eu/principles-countries-history/eu-countries/sweden_en,,8/11/26,secondary,,False,missing,missing,,,,,,
Switzerland,CHE,no,,,,,,,,,Switzerland Digital Nomad Visa in July 2026 | Citizen Remote,Citizen Remote,https://citizenremote.com/visas/switzerland-digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Syrian Arab Republic,SYR,no,,,,,,,,,C ONTENTS MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025-09,8/11/26,secondary,,False,missing,missing,,,,,,
Tajikistan,TJK,no,,,,,,,,2026,Tajikistan Digital Nomad Visa Guide 2026 | Stamped Nomad,Stamped Nomad,https://www.stampednomad.com/guides/tajikistan,2026,8/11/26,secondary,,False,missing,missing,,,,,,
Tanzania,TZA,no,,,,,,,,,Tanzania Residence Permit Application,Tanzania Immigration Services,https://eservices.immigration.go.tz/online/web/permit/guidelines,2024,8/11/26,primary,,False,missing,missing,,,,,,
Thailand,THA,yes,Destination Thailand Visa (DTV),Digital Nomad Visa,https://th.usembassy.gov/thai-visas-for-americans,,2024,7/15/24,active,2024-2026,Thai Visas for Americans,U.S. Embassy & Consulate in Thailand,https://th.usembassy.gov/thai-visas-for-americans,,8/11/26,primary,,True,year,day,2024-01-01,2024-07-15,2024,7,2025,2024
Timor-Leste,TLS,no,,,,,,,,,Work Permits & Visas in Timor-Leste,Rivermate,https://rivermate.com/guides/timor-leste/work-permits-and-visas,12/2/25,8/11/26,secondary,,False,missing,missing,,,,,,
Togo,TGO,no,,,,,,,,,ilab's sweat & toil and - comply chain apps today!,U.S. Department of Labor,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,,8/11/26,secondary,,False,missing,missing,,,,,,
Tonga,TON,no,,,,,,,,,Immigration and General Services,Ministry of Revenue and Customs of Tonga,https://www.revenue.gov.to/immigration-and-general-services,,8/11/26,primary,,False,missing,missing,,,,,,
Trinidad and Tobago,TTO,no,,,,,,,,,Ministry of Foreign and CARICOM Affairs | Visas,Government of the Republic of Trinidad & Tobago,https://foreign.gov.tt/services/visas,,8/11/26,primary,,False,missing,missing,,,,,,
Tunisia,TUN,no,,,,,,,,2026,Tunisia Digital Nomad Visa Guide | The Tunisia Guide,The Tunisia Guide (Secondary Source),https://www.thetunisiaguide.com/travel-info/digital-nomad-visa-tunisia,,8/11/26,secondary,,False,missing,missing,,,,,,
Tuvalu,TUV,no,,,,,,,,,Digital Nomad Visas for Remote Work: The Complete 2026,Deel Blog,https://www.deel.com/blog/remote-work-visas,2026,8/11/26,secondary,,False,missing,missing,,,,,,
Uganda,UGA,no,,,,,,,,2026,Uganda Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/uganda,,8/11/26,secondary,,False,missing,missing,,,,,,
Ukraine,UKR,no,,,,,,,,2024-2026,Ukraine Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/ukraine,,8/11/26,secondary,,False,missing,missing,,,,,,
United Arab Emirates,ARE,no,,,,,,,,,Rise of remote work across borders: opportunities and ... - PMC,National Center for Biotechnology Information (PMC),https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,,8/11/26,secondary,,False,missing,missing,,,,,,
United Kingdom,GBR,no,,,,,,,,,Migration Policy Practice,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025-09,8/11/26,secondary,,False,missing,missing,,,,,,
United States,USA,no,,,,,,,,2026,Remote Work in the USA: Legal FAQ for Foreign Employers & Employees,LE Global,https://leglobal.law/countries/usa/usa-remote-work-faq,,8/11/26,secondary,,False,missing,missing,,,,,,
Uruguay,URY,yes,Provisional Identity Card (Hojas de Identidad Provisoria) / Digital Nomad Permit,Digital Nomad Visa,https://www.liveinuruguay.uy/digitalnomadpermit,Introduced in May 2023,2023-05,2023-05,active,2023-2026,Uruguay Digital Nomad Visa: The Ultimate Guide 2025,Golden Harbors,https://goldenharbors.com/articles/uruguay-digital-nomad-visa,2025,8/11/26,primary,,True,month,month,2023-05-01,2023-05-01,2023,5,2024,2023
Uzbekistan,UZB,no,,,,,,,,,UNDERSTANDING THE PRE-DEPARTURE INFORMATION ECOSYSTEM,International Organization for Migration (IOM),https://kyrgyzstan.iom.int/resources/understanding-pre-departure-information-ecosystem-kazakhstan-kyrgyzstan-tajikistan-and-uzbekistan,,8/11/26,secondary,,False,missing,missing,,,,,,
Vanuatu,VUT,no,,,,,,,,,Work – Department of Immigration and Passport Services,"Department of Immigration and Passport Services, Vanuatu",https://immigration.gov.vu/work,,8/11/26,secondary,,False,missing,missing,,,,,,
"Venezuela, RB",VEN,no,,,,,,,,2026,Venezuela Implements Digital Visa Application System for Business Travel,"Envoy Global, Inc",https://www.envoyglobal.com/news-alert/venezuela-implements-digital-visa-application-system-for-business-travel,5/6/26,8/11/26,secondary,,False,missing,missing,,,,,,
Vietnam,VNM,no,,,,,,,,2026,Vietnam Digital Nomad Visa: All You Need to Know,Evolve Coliving,https://evolvecoliving.io/vietnam-digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Zambia,ZMB,no,,,,,,,,,Zambia Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/zambia,,8/11/26,secondary,,False,missing,missing,,,,,,
Zimbabwe,ZWE,no,,,,,,,,,Visa Applications - Ministry of Health and Child Care,Ministry of Health and Child Care,https://www.mohcc.gov.zw?p=5634,,8/11/26,secondary,,False,missing,missing,,,,,,
